 Generated on 02-Apr-2026 at 11:55:37 using ROSCO-v2.6.0
                Time          WE_Cp                    WE_b                     WE_w                     WE_t                     WE_Vm                    WE_Vt                    WE_Vw                    WE_lambda                PC_PICommand             GenSpeedF                RotSpeedF                NacIMU_FA_AccF           FA_AccF                  Fl_PitCom                PC_MinPit                axisTilt_1P              axisYaw_1P               axisTilt_2P              axisYaw_2P               YawRateCom               NacHeadingTarge          NacVaneOffset            Yaw_err                  YawState                 FF_PitchRate             REWS                     REWS_f                   REWS_b                   GenTq                    VS_State                 PltFomPtchRate           PltFomPtchRateF
               (sec)          [-]                      [-]                      [-]                      [-]                      [m/s]                    [m/s]                    [m/s]                    [rad]                    [rad]                    [rad/s]                  [rad/s]                  [rad/s]                  [m/s]                    [rad]                    [rad]                                                                                                                        [rad/s]                  [rad]                    [rad]                    [rad]                                             [rad/s]                  [m/s]                    [m/s]                    [m/s]                    [Nm]                                              [rad/s]                  [rad/s]        
             0.11250              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.40947E-07              1.20000E+01              7.98080E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.12500              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              2.03632E-07              1.20000E+01              7.98080E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.13750              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              2.84446E-07              1.20000E+01              7.98080E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.15000              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              3.86447E-07              1.20000E+01              7.98080E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.16250              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              5.12920E-07              1.20000E+01              7.98080E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.17500              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              6.67378E-07              1.20000E+01              7.98079E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.18750              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              8.53563E-07              1.20000E+01              7.98079E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.20000              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.07544E-06              1.20000E+01              7.98079E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.21250              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.33721E-06              1.20000E+01              7.98078E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
             0.22500              3.18751E-01              1.11841E-01              7.91681E-01              1.97868E+07              1.20000E+01              1.64328E-06              1.20000E+01              7.98078E+00              1.11841E-01              7.91681E-01              7.91681E-01              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              0.00000E+00              1.97868E+07              4.00000E+00              0.00000E+00              0.00000E+00
